Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United States,800,799,"1,628",45.33%,3.03,0:02:43,0.00%,0,$0.00 
India,21,21,26,69.23%,1.62,0:01:07,0.00%,0,$0.00 
(not set),20,20,20,100.00%,1,0:00:00,0.00%,0,$0.00 
United Kingdom,17,17,19,94.74%,1.05,0:00:07,0.00%,0,$0.00 
Canada,16,16,24,66.67%,2.04,0:06:10,0.00%,0,$0.00 
China,16,16,19,84.21%,2.89,0:02:25,0.00%,0,$0.00 
Brazil,11,10,17,70.59%,2.29,0:01:00,0.00%,0,$0.00 
Germany,11,11,12,100.00%,1,0:00:00,0.00%,0,$0.00 
Netherlands,11,11,12,75.00%,1.42,0:02:34,0.00%,0,$0.00 
Peru,10,10,10,100.00%,1,0:00:00,0.00%,0,$0.00 
Italy,9,9,10,90.00%,1.1,<00:00:01,0.00%,0,$0.00 
France,8,8,8,100.00%,1,0:00:00,0.00%,0,$0.00 
Switzerland,7,7,7,85.71%,1.14,0:00:51,0.00%,0,$0.00 
South Korea,7,7,7,85.71%,1.14,0:00:21,0.00%,0,$0.00 
Japan,6,6,6,83.33%,1.33,0:00:01,0.00%,0,$0.00 
Belgium,5,5,5,100.00%,1,0:00:00,0.00%,0,$0.00 
Denmark,5,5,6,83.33%,1.5,0:00:26,0.00%,0,$0.00 
Spain,5,5,6,33.33%,4.5,0:02:43,0.00%,0,$0.00 
Nigeria,4,4,5,80.00%,1.2,0:00:38,0.00%,0,$0.00 
Colombia,3,3,3,66.67%,2.33,0:06:39,0.00%,0,$0.00 
Poland,3,3,3,66.67%,1.33,0:01:31,0.00%,0,$0.00 
Sweden,3,3,4,75.00%,1.25,0:00:11,0.00%,0,$0.00 
South Africa,3,3,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Australia,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Hong Kong,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Indonesia,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Ireland,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Kenya,2,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
New Zealand,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Pakistan,2,1,2,50.00%,7,0:01:46,0.00%,0,$0.00 
Portugal,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Austria,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Bangladesh,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Finland,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ghana,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Israel,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Iran,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kuwait,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Macau,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Norway,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Panama,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Puerto Rico,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Russia,1,1,1,0.00%,3,0:00:18,0.00%,0,$0.00 
Singapore,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Slovakia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Vietnam,1,1,1,0.00%,10,0:16:59,0.00%,0,$0.00 
,"1,032","1,029","1,894",50.69%,2.83,0:02:31,0.00%,0,$0.00 
